Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-07-21,-0.7244286142168403,-0.7244286142168403,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,182.18
2023-07-24,-0.15084431616672966,-0.15084431616672966,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,181.4
2023-07-25,0.542673819505814,0.542673819505814,0.5646269922413801,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,182.41
2023-07-26,0.23337289385005336,0.23337289385005336,0.24281369468904476,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,183.3
2023-07-27,0.23676654029547697,0.23676654029547697,0.24634462674498056,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,180.42
2023-07-28,-1.0,-1.0,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,181.86
2023-07-31,-1.0,-1.0,0.0,2023-06-30,adaptive_volatility_band,45,0.9611191582456599,182.35
2023-08-01,0.06831355961118929,0.06831355961118929,0.07300461926356472,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,180.46
2023-08-02,0.5476628526363932,0.5476628526363932,0.585270600288978,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,179.6
2023-08-03,-0.8648764019318304,-0.8648764019318304,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,179.54
2023-08-04,-0.2654973306596754,-0.2654973306596754,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,180.19
2023-08-07,-0.4169542480933027,-0.4169542480933027,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,179.78
2023-08-08,-0.2921000512268309,-0.2921000512268309,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,178.64
2023-08-09,0.8536664405885255,0.8536664405885255,0.9122873091075165,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.79
2023-08-10,0.6445329405879351,0.6445329405879351,0.6887927111141326,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.6
2023-08-11,-0.58918209228091,-0.58918209228091,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.6
2023-08-14,-0.13283439595620491,-0.13283439595620491,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.06
2023-08-15,0.15893935168664103,0.15893935168664103,0.1698536413842575,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,176.59
2023-08-16,0.8572066108906969,0.8572066108906969,0.9160705812208302,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,175.57
2023-08-17,0.8074872716481739,0.8074872716481739,0.8629370385962722,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,175.3
2023-08-18,-0.6996049379227698,-0.6996049379227698,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,175.33
2023-08-21,-0.6373243706014446,-0.6373243706014446,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,175.81
2023-08-22,-0.6206855057792936,-0.6206855057792936,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,176.1
2023-08-23,-0.10176028256385487,-0.10176028256385487,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.89
2023-08-24,0.28830405215610905,0.28830405215610905,0.308101754316316,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.85
2023-08-25,1.0,1.0,1.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,177.62
2023-08-28,-0.14281336224442498,-0.14281336224442498,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,178.13
2023-08-29,0.7554987443128639,0.7554987443128639,0.8073784838116952,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,179.87
2023-08-30,-0.9991685118858696,-0.9991685118858696,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,180.32
2023-08-31,-0.7923995068875708,-0.7923995068875708,0.0,2023-07-31,adaptive_volatility_band,45,0.9357429749008135,180.02
2023-09-01,1.0,1.0,1.0,2023-08-31,adaptive_volatility_band,45,1.0,180.11
2023-09-05,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.64
2023-09-06,0.2673945820495715,0.2673945820495715,0.2673945820495715,2023-08-31,adaptive_volatility_band,45,1.0,177.83
2023-09-07,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.02
2023-09-08,-0.5677488991175791,-0.5677488991175791,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.08
2023-09-11,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.41
2023-09-12,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,177.49
2023-09-13,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,177.08
2023-09-14,-0.8741831264526143,-0.8741831264526143,0.0,2023-08-31,adaptive_volatility_band,45,1.0,177.17
2023-09-15,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.34
2023-09-18,-0.7811115229021827,-0.7811115229021827,0.0,2023-08-31,adaptive_volatility_band,45,1.0,179.39
2023-09-19,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,179.22
2023-09-20,0.8115825720735098,0.8115825720735098,0.8115825720735098,2023-08-31,adaptive_volatility_band,45,1.0,179.35
2023-09-21,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.05
2023-09-22,-1.0,-1.0,0.0,2023-08-31,adaptive_volatility_band,45,1.0,178.62
2023-09-25,-0.2548241042269628,-0.2548241042269628,0.0,2023-08-31,adaptive_volatility_band,45,1.0,177.7
