Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-08-23,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,168.73
2021-08-24,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,168.65
2021-08-25,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,167.48
2021-08-26,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,167.67
2021-08-27,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,170.19
2021-08-30,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,169.35
2021-08-31,0,0,0.0,2021-07-30,fear_greed_candle_volume,45,1.0,169.69
2021-09-01,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,169.7
2021-09-02,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,169.25
2021-09-03,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,171.06
2021-09-07,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,167.71
2021-09-08,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,167.29
2021-09-09,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,168.03
2021-09-10,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,167.18
2021-09-13,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,167.74
2021-09-14,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,168.82
2021-09-15,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,167.83
2021-09-16,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,164.03
2021-09-17,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,163.77
2021-09-20,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,164.94
2021-09-21,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,166.04
2021-09-22,-1,-1,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,165.42
2021-09-23,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,163.51
2021-09-24,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,163.3
2021-09-27,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,163.64
2021-09-28,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,162.05
2021-09-29,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,161.32
2021-09-30,0,0,0.0,2021-08-31,fear_greed_candle_volume,45,1.0,164.22
2021-10-01,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.59
2021-10-04,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,165.36
2021-10-05,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.59
2021-10-06,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,165.03
2021-10-07,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.16
2021-10-08,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.23
2021-10-11,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,163.92
2021-10-12,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.66
2021-10-13,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,167.59
2021-10-14,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,168.0
2021-10-15,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,165.33
2021-10-18,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,164.92
2021-10-19,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,165.45
