Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-04-27,-0.2157422512234914,-0.2157422512234914,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,184.75
2023-04-28,-0.10725938009788233,-0.10725938009788233,0.0,2023-03-31,ma_crossover,45,0.6591557911908664,184.8
2023-05-01,-0.11235036973485564,-0.11235036973485564,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,183.97
2023-05-02,-0.019610246353720596,-0.019610246353720596,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,187.52
2023-05-03,0.18425460636515675,0.18425460636515675,0.24895807457701316,2023-04-28,ma_crossover,45,0.7401029537933669,189.11
2023-05-04,0.47146300608734665,0.47146300608734665,0.637023543374449,2023-04-28,ma_crossover,45,0.7401029537933669,190.44
2023-05-05,0.557666380683912,0.557666380683912,0.7534983853605991,2023-04-28,ma_crossover,45,0.7401029537933669,187.46
2023-05-08,0.7439637210442577,0.7439637210442577,1.0,2023-04-28,ma_crossover,45,0.7401029537933669,187.69
2023-05-09,0.7329329574702841,0.7329329574702841,0.990312163616787,2023-04-28,ma_crossover,45,0.7401029537933669,189.02
2023-05-10,0.5396903215263309,0.5396903215263309,0.7292097927189327,2023-04-28,ma_crossover,45,0.7401029537933669,188.75
2023-05-11,0.17199820239408137,0.17199820239408137,0.2323976705031533,2023-04-28,ma_crossover,45,0.7401029537933669,187.13
2023-05-12,0.03676921191321451,0.03676921191321451,0.049681212221563825,2023-04-28,ma_crossover,45,0.7401029537933669,186.81
2023-05-15,-0.13482044368181748,-0.13482044368181748,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,187.21
2023-05-16,-0.36564938513707224,-0.36564938513707224,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,184.87
2023-05-17,-0.5356048535359648,-0.5356048535359648,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,184.23
2023-05-18,-0.6164971197450622,-0.6164971197450622,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,181.84
2023-05-19,-0.7194509131020953,-0.7194509131020953,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,183.64
2023-05-22,-0.8632593863627092,-0.8632593863627092,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,183.21
2023-05-23,-0.7525432038240046,-0.7525432038240046,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,183.43
2023-05-24,-0.6610287208399713,-0.6610287208399713,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,181.95
2023-05-25,-0.5119091391918895,-0.5119091391918895,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,180.2
2023-05-26,-0.4935245332352823,-0.4935245332352823,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,180.92
2023-05-30,-0.37790578910813605,-0.37790578910813605,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,182.04
2023-05-31,-0.3644237447399589,-0.3644237447399589,0.0,2023-04-28,ma_crossover,45,0.7401029537933669,182.32
2023-06-01,-0.1974692859625106,-0.1974692859625106,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,183.76
2023-06-02,-0.09566834972097069,-0.09566834972097069,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,181.05
2023-06-05,0.06541425621946326,0.06541425621946326,0.5398110661269064,2023-05-31,ma_crossover,45,0.12117990964654426,182.14
2023-06-06,0.12551360412108126,0.12551360412108126,1.0,2023-05-31,ma_crossover,45,0.12117990964654426,182.34
2023-06-07,0.08217665937571139,0.08217665937571139,0.6781376518220144,2023-05-31,ma_crossover,45,0.12117990964654426,180.15
2023-06-08,-0.04211042744127228,-0.04211042744127228,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,182.53
2023-06-09,-0.03638668002208828,-0.03638668002208828,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,182.04
2023-06-12,-0.09689486702509151,-0.09689486702509151,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,181.88
2023-06-13,-0.1827510783131421,-0.1827510783131421,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,180.54
2023-06-14,-0.07399987734828575,-0.07399987734828575,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,180.64
2023-06-15,-0.04906069216460035,-0.04906069216460035,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,181.91
2023-06-16,-0.10629816635662635,-0.10629816635662635,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,181.63
2023-06-20,-0.1827510783131305,-0.1827510783131305,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,179.75
2023-06-21,-0.15208814571024948,-0.15208814571024948,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,179.49
2023-06-22,-0.29191111837934886,-0.29191111837934886,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,177.71
2023-06-23,-0.41824240070320057,-0.41824240070320057,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,178.2
2023-06-26,-0.5290377971749249,-0.5290377971749249,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,178.51
2023-06-27,-0.5261759234653214,-0.5261759234653214,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,177.69
2023-06-28,-0.5736012592244388,-0.5736012592244388,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,177.28
2023-06-29,-0.479159426807589,-0.479159426807589,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,177.09
2023-06-30,-0.32461824648909793,-0.32461824648909793,0.0,2023-05-31,ma_crossover,45,0.12117990964654426,178.27
2023-07-03,-0.19893980638163503,-0.19893980638163503,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,178.47
2023-07-05,-0.10847540882949429,-0.10847540882949429,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,177.84
2023-07-06,-0.016782987781164802,-0.016782987781164802,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,177.31
