feature_column,target_horizon_days,selection_rows,evaluation_rows,coefficient,intercept,selection_correlation,selection_directional_accuracy,evaluation_correlation,evaluation_directional_accuracy
adaptive_volatility_band_score,81,150,148,0.01193463510511121,0.10101679863208685,0.19529235297034503,1.0,0.10377870447612811,0.9864864864864865
fear_greed_candle_volume_score,3,228,226,0.026169958396851482,0.0035933283509248133,0.1514181434277765,0.6052631578947368,0.1036990405749458,0.6061946902654868
fear_greed_candle_volume_score,114,117,115,0.0818266511268288,0.14418637475487103,0.2261674427258895,1.0,0.10233965862334035,1.0
adaptive_band_score,3,228,226,-0.0001791178015945745,0.003206513787249402,0.0045199406100105664,0.5964912280701754,0.10099645873577238,0.6017699115044248
fear_greed_candle_volume_score,112,119,117,0.07938342930837806,0.14191918603064177,0.21799773577175047,1.0,0.10011997438448543,1.0
adaptive_band_score,98,133,131,-0.0025843482434211923,0.12057303263725727,0.027812349940759064,1.0,0.09676739400555029,1.0
fear_greed_candle_volume_score,111,120,118,0.08030506205052869,0.14072842164213195,0.21904133678584325,1.0,0.09623734723966448,1.0
adaptive_band_score,95,136,134,-0.0018766253338013902,0.11709913838370462,0.020208264604407278,1.0,0.09559594962827989,1.0
adaptive_band_score,96,135,133,-0.0026612533026203057,0.11778987213830251,0.02845618845917091,1.0,0.0947535256170479,1.0
adaptive_volatility_band_score,82,149,147,0.01334970194476021,0.10247379209764183,0.218429247633046,1.0,0.09446897613259361,0.9727891156462585
adaptive_band_score,97,134,132,-0.002457895267817686,0.11922113155995097,0.02621249430770549,1.0,0.09390497592432898,1.0
adaptive_volatility_band_score,80,151,149,0.011380719766494329,0.09994103469815512,0.18599822327636395,1.0,0.08887271542084275,0.9731543624161074
fear_greed_candle_volume_score,7,224,222,0.01673301445349586,0.008245608578890968,0.06385152109211625,0.625,0.08826620771293475,0.7072072072072072
ma_crossover_score,26,205,203,-0.007227263778323777,0.03497625773903831,0.07664871500251848,0.7658536585365854,0.08773277959038313,0.8522167487684729
adaptive_volatility_band_score,129,102,100,0.009045872751844278,0.16577127828194535,0.14381195861910165,1.0,0.08624564702855765,1.0
adaptive_volatility_band_score,121,110,108,0.008987884325107129,0.1547571538316208,0.16708789465031773,1.0,0.08559269862910407,1.0
adaptive_band_score,94,137,135,-0.0034739254824512115,0.1141811086908531,0.037262908862406505,1.0,0.0836554926165562,1.0
fear_greed_candle_volume_score,32,199,197,0.008698410800763666,0.04019799074966295,0.017679155713001396,0.7286432160804021,0.08320707597239482,0.8934010152284264
adaptive_volatility_band_score,79,152,150,0.011101005676551775,0.09866299167013387,0.18082778534754512,0.993421052631579,0.08205640293263296,0.9666666666666667
fear_greed_candle_volume_score,8,223,221,0.02279742004577262,0.009500789099603855,0.08108225701419135,0.6233183856502242,0.07979993743073609,0.7194570135746606
adaptive_band_score,100,131,129,-0.009858573666420112,0.11717421108939657,0.10725930756963681,1.0,0.0793656170990313,1.0
adaptive_band_score,114,117,115,-0.003677315108519565,0.14037673073949516,0.04945422646553542,1.0,0.07627866414808852,1.0
adaptive_band_score,93,138,136,-0.0004523890179570107,0.11531982327215123,0.0048615780142687946,1.0,0.07611993164535956,1.0
fear_greed_candle_volume_score,6,225,223,0.019825590474601047,0.007053837383599836,0.08143735506720134,0.6044444444444445,0.07433617485910327,0.6905829596412556
adaptive_volatility_band_score,128,103,101,0.0086326927065453,0.16423988303689283,0.13814499254798654,1.0,0.07346996083434618,1.0
